Neighborhood,Shootings_2020,Shootings_2019,Damaged_Buildings,Shootings_Above_Modeled,,
Armatage,0,0,0,0,,
Bancroft,2.5,0,0,2.5,,
Beltrami,1,0,0,1,,
Bryant,2.5,0,0,2.5,,208
Bryn Mawr,1,0,0,1,,
Calhoun,1,0,10,1,,
Cedar-Isles-Dean,0,0,16,0,,
Cedar-Riverside,1.5,0,0,1.5,,
Central,7.25,1,2,1.35,,
Cleveland,3,0,2,3,,
Columbia Park,1,0,0,1,,
Como,1,0,2,1,,
Cooper,1,0,7,1,,
Corcoran,1,0,4,1,,
Diamond Lake,0,0,1,0,,
Downtown East,0.5,0,0,0.5,,
Downtown West,5,4.5,1,-21.55,,
East Calhoun,0.5,0,6,0.5,,
East Harriet,0.5,0,0,0.5,,
East Isles,0,0,3,0,,
East Phillips,10.5,0,1,10.5,,
Elliot Park,1,0,0,1,,
Ericsson,0,0,1,0,,
Folwell,5,3,1,-12.7,,
Fulton,1,0,0,1,,
Harrison,3,0,0,3,,
Hawthorne,20,3,1,2.3,,
Hiawatha,0,0,3,0,,
Holland,0,0,2,0,,
Howe,2,0,1,2,,
Humboldt Industrial Area,0.5,0,0,0.5,,
Jordan,13.5,2,9,1.7,,
Keewaydin,0.5,0,1,0.5,,
King Field,1,0,0,1,,
Lind-Bohanon,2,2,1,-9.8,,
Logan Park,0,0.5,1,-2.95,,
Longfellow,3,0,30,3,,
Loring Park,0,0,1,0,,
Lowry Hill East,4,1,16,-1.9,,
Lyndale,2,0,30,2,,
Lynnhurst,1,0,0,1,,
Marcy Holmes,1,0,1,1,,
McKinley,7.5,1,0,1.6,,
Midtown Phillips,7.75,1.5,1,-1.1,,
Minnehaha,0,0,1,0,,
Near-North,9.5,2,5,-2.3,,
Nicollet Island-East Bank,1,0,0,1,177,30
North Loop,0,2.5,0,-14.75,,
Northeast Park,0,0.5,0,-2.95,,
Northrup,0,0,2,0,,
Phillips West,0.75,0,8,0.75,,
Powderhorn Park,13.25,0.5,6,10.3,,
Prospect Park-East River Road,2,0,0,2,,
Seward,0,0,6,0,,
Shingle Creek,2.5,0,0,2.5,,
St. Anthony West,1,0,0,1,,
Standish,0,0,3,0,,
Stevens Square,0,0,1,0,,
Ventura Village,14.5,1,0,8.6,,
Victory,0,0,3,0,,
Webber-Camden,3.5,0,0,3.5,,
Wenonah,0.5,0,0,0.5,,
West Calhoun,0,0,1,0,,
Whittier,5,1,12,-0.9,,
Willard-Hay,7,3,5,-10.7,,
